Epic / Phân Hệ,Mã US,Tên Chức Năng (User Story chuẩn Agile),Story Points,Độ Ưu Tiên,Acceptance Criteria (Tiêu Chí Nghiệm Thu Chi Tiết),Trạng Thái,Người Phụ Trách (Dev),Người Phụ Trách (Tester),Sprint Dự Kiến,Ghi Chú
2. SƠ ĐỒ BÀN & POS (POS),US-11,"Là Thu ngân, tôi muốn chọn biến thể món ăn (Size, Toppings, Đá, Nóng) để ghi nhận chi tiết khẩu vị khách.",3,Cao,"1. Khi chọn món, hiển thị cửa sổ popup cấu hình biến thể sản phẩm.
2. Cho phép chọn 1 size (Standard, Medium, Large) và nhiều topping ăn kèm.
3. Giá bán của biến thể và topping tự động cộng dồn vào đơn giá món ăn.",In Progress,Dũng,Lộc,1,Lưu product_variants
2. SƠ ĐỒ BÀN & POS (POS),US-12,"Là Thu ngân, tôi muốn gửi yêu cầu làm món xuống Bếp để đầu bếp chuẩn bị chế biến đúng theo thứ tự gọi món.",5,Cao,"1. Có nút 'Gửi bếp' trên giỏ hàng POS.
2. Sau khi gửi, khởi tạo bản ghi trong bảng orders (status = PENDING).
3. Đẩy tin nhắn thông báo WebSocket chứa danh sách món cần làm sang màn hình hiển thị bếp KDS.",In Progress,Dũng,Lộc,1,Đẩy WebSocket sang KDS
2. SƠ ĐỒ BÀN & POS (POS),US-13,"Là Thu ngân, tôi muốn tách hóa đơn thanh toán (Split Bill) khi một nhóm khách muốn tự thanh toán riêng phần của họ.",5,Trung bình,"1. Cho phép chọn các món ăn cụ thể trong giỏ hàng hiện tại.
2. Chuyển các món đã chọn sang một hóa đơn mới riêng biệt.
3. Giữ nguyên các món còn lại ở hóa đơn gốc tại bàn ăn.",In Progress,Kha,Thuận,1,Tách hóa đơn POS
2. SƠ ĐỒ BÀN & POS (POS),US-14,"Là Thu ngân, tôi muốn ghép hóa đơn nhiều bàn (Merge Bill) khi các bàn đi chung nhóm muốn gộp tiền trả một thể.",5,Trung bình,"1. Cho phép chọn bàn nguồn và bàn đích cần gộp.
2. Chuyển toàn bộ món từ bàn nguồn sang bàn đích.
3. Tự động hủy phiên ăn ở bàn nguồn, chuyển bàn nguồn về trạng thái trống (EMPTY).",In Progress,Lộc,Dũng,1,Gộp hóa đơn POS
2. SƠ ĐỒ BÀN & POS (POS),US-15,"Là Thu ngân, tôi muốn xuất mã QR VNPay để khách hàng quét thanh toán hóa đơn nhanh chóng và hạn chế sai số tiền mặt.",5,Cao,"1. Khi chọn thanh toán VNPay, gọi API VNPay Sandbox sinh chuỗi URL QR Code thanh toán.
2. Hiển thị mã QR lên màn hình POS.
3. Lắng nghe phản hồi giao dịch qua IPN endpoint để tự động xác nhận hóa đơn đã thanh toán.",In Progress,Kha,Thuận,1,Tích hợp SDK VNPay Sandbox
3. HỆ THỐNG HIỂN THỊ BẾP (KDS),US-16,"Là Đầu bếp, tôi muốn xem danh sách các món ăn cần chế biến hiển thị thời gian thực theo thứ tự thời gian đặt để chuẩn bị kịp thời.",5,Cao,"1. Màn hình KDS tự động cập nhật món ăn mới ngay khi thu ngân nhấn 'Gửi bếp' mà không cần tải lại trang.
2. Hiển thị chi tiết: Tên món, Biến thể, Số lượng, Ghi chú chế biến, Thời gian chờ (đếm ngược).
3. Sắp xếp món theo thứ tự thời gian gọi món từ cũ đến mới.",Chưa bắt đầu,Kha,Thuận,2,Kết nối WebSocket KDS
3. HỆ THỐNG HIỂN THỊ BẾP (KDS),US-17,"Là Đầu bếp, tôi muốn cập nhật trạng thái món ăn sang 'Đang làm' (COOKING) để thu ngân biết món ăn đang được chế biến.",2,Cao,"1. Nhấp vào thẻ món ăn trên KDS để đổi trạng thái sang COOKING.
2. Đồng bộ trạng thái về màn hình POS của thu ngân thời gian thực.
3. Cập nhật trạng thái trong bảng `order_details.status = 'COOKING'`.",Chưa bắt đầu,Kha,Thuận,2,Cập nhật order_details
3. HỆ THỐNG HIỂN THỊ BẾP (KDS),US-18,"Là Đầu bếp, tôi muốn cập nhật trạng thái món ăn sang 'Đã xong' (READY) để phục vụ mang món ăn lên cho khách hàng.",2,Cao,"1. Nhấp vào nút 'Hoàn thành' trên thẻ món ở KDS.
2. Đổi trạng thái sang READY, tự động đẩy thẻ món ăn vào danh sách chờ bưng.
3. Bắn WebSocket thông báo pop-up lên màn hình POS báo phục vụ mang món ra bàn ăn.",Chưa bắt đầu,Thuận,Kha,2,Bắn WebSocket READY
3. HỆ THỐNG HIỂN THỊ BẾP (KDS),US-19,"Là Người quản lý, tôi muốn hệ thống hiển thị cảnh báo đỏ khi một món ăn bị chế biến trễ quá 15 phút để tôi kịp thời điều phối bếp.",3,Trung bình,"1. Hệ thống đếm thời gian từ lúc order ở trạng thái PENDING.
2. Nếu sau 15 phút chưa đổi sang READY, đổi màu thẻ món ăn trên KDS thành màu đỏ nhấp nháy.
3. Gửi cảnh báo hiệu suất lên dashboard quản trị.",Chưa bắt đầu,Thuận,Kha,2,Hệ thống đếm thời gian thực
3. HỆ THỐNG HIỂN THỊ BẾP (KDS),US-20,"Là Thu ngân, tôi muốn đánh dấu món ăn đã được phục vụ (SERVED) cho khách tại bàn để tôi chốt số lượng món thực tế đã dùng.",2,Cao,"1. Trên giỏ hàng POS hiển thị danh sách món READY.
2. Cho phép nhấp chọn 'Đã phục vụ' (SERVED) khi phục vụ bưng món xong.
3. Cập nhật `order_details.status = 'SERVED'`.",Chưa bắt đầu,Kha,Thuận,2,Cập nhật trạng thái chi tiết
4. QUẢN LÝ DANH MỤC & THỰC ĐƠN (MENU),US-21,"Là Người quản lý, tôi muốn tạo mới danh mục món ăn (Category) để tôi phân loại thực đơn khoa học.",2,Cao,"1. Có giao diện thêm danh mục món (Ví dụ: Món chính, Đồ uống, Tráng miệng...).
2. Yêu cầu nhập Tên danh mục không trùng lặp.
3. Cho phép cập nhật thông tin hoặc xóa danh mục (chỉ xóa khi danh mục không chứa sản phẩm).",Chưa bắt đầu,Lộc,Dũng,2,Lưu bảng categories
4. QUẢN LÝ DANH MỤC & THỰC ĐƠN (MENU),US-22,"Là Người quản lý, tôi muốn thêm món ăn mới vào thực đơn (Product) để tôi đa dạng hóa thực đơn phục vụ.",3,Cao,"1. Form nhập liệu gồm: Tên món, Mô tả, Hình ảnh (upload lên server), Danh mục liên kết.
2. Kiểm tra tính hợp lệ dữ liệu bắt buộc.
3. Tự động đồng bộ món ăn mới lên danh sách món ăn hiển thị tại POS.",Chưa bắt đầu,Lộc,Dũng,2,Lưu bảng products
4. QUẢN LÝ DANH MỤC & THỰC ĐƠN (MENU),US-23,"Là Người quản lý, tôi muốn tạo các biến thể món ăn (Product Variants) để bán sản phẩm với nhiều kích cỡ và mức giá khác nhau.",3,Cao,"1. Cho phép thêm nhiều biến thể dưới 1 sản phẩm gốc.
2. Nhập thông tin: Tên biến thể (Size M, Size L...), Giá bán gốc, Giá vốn gốc, Mã SKU (duy nhất), Cờ Topping.
3. Ràng buộc khóa ngoại chính xác đến sản phẩm gốc.",Chưa bắt đầu,Dũng,Lộc,2,Lưu product_variants
4. QUẢN LÝ DANH MỤC & THỰC ĐƠN (MENU),US-24,"Là Đầu bếp, tôi muốn ngưng phục vụ món ăn tạm thời khi nguyên liệu chế biến món ăn đó bị hết trong ngày.",2,Trung bình,"1. Cho phép chuyển đổi trạng thái `is_active = false` của sản phẩm hoặc biến thể tại trang quản trị.
2. Món ăn bị tắt ngay lập tức ẩn khỏi màn hình POS của thu ngân.
3. Tự động khôi phục hiển thị khi chuyển trạng thái thành `is_active = true`.",Chưa bắt đầu,Dũng,Lộc,2,Ẩn món tại POS
4. QUẢN LÝ DANH MỤC & THỰC ĐƠN (MENU),US-25,"Là Người quản trị, tôi muốn xem lịch sử thay đổi giá bán của biến thể món ăn để giám sát biến động định giá sản phẩm.",2,Thấp,"1. Mỗi khi cập nhật `price` của biến thể, tự động lưu một dòng nhật ký vào bảng `audit_logs`.
2. Ghi rõ: Giá cũ, Giá mới, Người thực hiện thay đổi.
3. Cho phép lọc lịch sử đổi giá theo thời gian.",Chưa bắt đầu,Lộc,Dũng,2,Audit Log đổi giá
5. QUẢN LÝ KHO NGUYÊN LIỆU (INVENTORY),US-26,"Là Nhân viên kho, tôi muốn quản lý danh mục nguyên liệu thô để phân loại các nguyên vật liệu sử dụng cho bếp nấu.",3,Cao,"1. Nhập thông tin: Mã nguyên liệu SKU (Ví dụ: MAT-001), Tên nguyên liệu, Đơn vị tính (kg, lít, lon, quả...), Ngưỡng tồn kho tối thiểu.
2. Cho phép thêm mới, sửa thông tin nguyên vật liệu.",Chưa bắt đầu,Dũng,Lộc,3,Lưu inventory_items
5. QUẢN LÝ KHO NGUYÊN LIỆU (INVENTORY),US-27,"Là Đầu bếp, tôi muốn thiết lập định mức nguyên liệu chế biến (Recipes) để hệ thống tự động trừ kho chi nhánh khi bán hàng.",5,Cao,"1. Cho phép liên kết 1 biến thể sản phẩm với nhiều nguyên vật liệu thô.
2. Nhập định lượng cần dùng (`quantity_needed` - Ví dụ: 0.15 kg thịt bò nạm cho 1 tô Phở Bò Size Lớn).
3. Khi hóa đơn POS thanh toán thành công, hệ thống tự động trừ tồn kho nguyên liệu tương ứng trong kho chi nhánh.",Chưa bắt đầu,Dũng,Lộc,3,Định lượng Recipes
5. QUẢN LÝ KHO NGUYÊN LIỆU (INVENTORY),US-28,"Là Nhân viên kho, tôi muốn ghi nhận xuất kho/nhập kho thủ công khi có hao hụt rơi vỡ hoặc nhập thêm nguyên liệu ngoài.",3,Cao,"1. Có form tạo phiếu xuất/nhập kho thủ công.
2. Chọn nguyên vật liệu, nhập số lượng thay đổi (+/-), lý do điều chỉnh.
3. Tự động ghi nhật ký biến động vào bảng `inventory_logs` với loại STOCKIN hoặc STOCKOUT.",Chưa bắt đầu,Lộc,Dũng,3,Điều chỉnh tồn kho
5. QUẢN LÝ KHO NGUYÊN LIỆU (INVENTORY),US-29,"Là Quản lý chi nhánh, tôi muốn nhận cảnh báo tự động khi tồn kho nguyên liệu xuống thấp hơn ngưỡng tối thiểu để kịp thời mua thêm.",3,Trung bình,"1. Hệ thống liên tục quét số lượng tồn kho thực tế trong `branch_inventory`.
2. Nếu `quantity < reorder_point`, hiển thị biểu tượng cảnh báo màu vàng tại trang chủ Dashboard quản trị.
3. Gợi ý lập đơn mua hàng PO cho nguyên vật liệu bị thiếu.",Chưa bắt đầu,Lộc,Dũng,3,Cảnh báo reorder_point
5. QUẢN LÝ KHO NGUYÊN LIỆU (INVENTORY),US-30,"Là Nhân viên kho, tôi muốn thực hiện kiểm kê kho định kỳ và điều chỉnh chênh lệch tồn tồn kho thực tế.",5,Cao,"1. Cho phép tạo phiếu kiểm kê định kỳ.
2. Nhập số lượng thực tế kiểm đếm tại kệ kho.
3. Hệ thống tự động tính toán chênh lệch và cập nhật số lượng tồn kho về giá trị thực tế kiểm đếm, ghi log điều chỉnh.",Chưa bắt đầu,Dũng,Lộc,3,Kiểm kê & đối soát kho
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-31,"Là Nhân viên mua hàng, tôi muốn quản lý thông tin nhà cung cấp (Supplier Profile) để liên hệ đặt mua hàng hóa ngoài.",2,Cao,"1. Lưu trữ: Mã nhà cung cấp (Ví dụ: SUP-001), Tên nhà cung cấp, Email liên hệ, Số điện thoại, Địa chỉ.
2. Ràng buộc không cho phép xóa nhà cung cấp đang có đơn hàng PO chưa hoàn thành.",Chưa bắt đầu,Kha,Thuận,3,Lưu bảng suppliers
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-32,"Là Nhân viên mua hàng, tôi muốn tạo đơn đặt hàng nhà cung cấp (Purchase Order - PO) để bổ sung nguyên vật liệu thô cho chi nhánh.",5,Cao,"1. Cho phép tạo phiếu đặt hàng PO trạng thái 'DRAFT'.
2. Chọn Supplier, Chi nhánh nhận hàng, Hạn chót giao hàng, danh sách nguyên liệu kèm số lượng và đơn giá nhập hợp đồng.
3. Tính tổng số tiền đơn hàng PO tự động.",Chưa bắt đầu,Kha,Thuận,3,Khởi tạo purchase_orders
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-33,"Là Quản lý chi nhánh, tôi muốn xem xét phê duyệt đơn đặt hàng PO để nhân viên tiến hành gửi email đặt hàng cho Supplier.",3,Cao,"1. Hiển thị danh sách các đơn hàng PO trạng thái DRAFT.
2. Cho phép Quản lý nhấn 'Approve' (Chuyển trạng thái sang APPROVED) hoặc 'Reject' (Hủy đơn).
3. Tự động gửi email thông báo đơn đặt hàng chứa danh sách nguyên vật liệu thô đến email nhà cung cấp.",Chưa bắt đầu,Thuận,Kha,3,Phê duyệt & Gửi mail tự động
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-34,"Là Nhân viên kho, tôi muốn lập phiếu nhận hàng (Goods Receipt - GRN) khi nhà cung cấp giao nguyên liệu đến chi nhánh.",3,Cao,"1. Cho phép chọn đơn hàng gốc PO đã được duyệt.
2. Nhập số lượng thực tế nhận được (`quantity_received`) và số lượng bị lỗi từ chối nhận (`quantity_rejected`).
3. Trạng thái đơn hàng PO cập nhật sang RECEIVED.",Chưa bắt đầu,Thuận,Kha,3,Lưu phiếu goods_receipts
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-35,"Là Quản lý chi nhánh, tôi muốn thực hiện đối chiếu 3 bên (Invoice Matching) để xác nhận thanh toán tài chính cho nhà cung cấp.",5,Trung bình,"1. Hệ thống tự động so khớp 3 thông tin: Đơn hàng ban đầu (PO) vs Phiếu thực nhận (GRN) vs Hóa đơn đòi tiền từ Supplier.
2. Nếu sai lệch số lượng vượt quá 2%, hiển thị cảnh báo đỏ bắt buộc giải trình.
3. Nếu khớp 100%, tự động cộng tồn kho vào chi nhánh và chuyển trạng thái PO thành hoàn tất thanh toán.",Chưa bắt đầu,Kha,Thuận,3,Quy trình Three-way Matching
6. THU MUA & NHÀ CUNG CẤP (PROCUREMENT),US-36,"Là Nhân viên mua hàng, tôi muốn nhận cảnh báo đơn hàng PO bị giao trễ hạn để tôi liên hệ hối thúc nhà cung cấp.",2,Thấp,"1. Hệ thống quét các đơn PO trạng thái APPROVED chưa hoàn thành nhận hàng.
2. Nếu ngày hiện tại vượt quá `delivery_deadline`, đổi trạng thái hiển thị của PO thành DELAYED trên trang danh sách đơn PO.",Chưa bắt đầu,Thuận,Kha,3,Cảnh báo giao hàng trễ
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-37,"Là Nhân viên nhân sự (HR), tôi muốn quản lý thông tin hồ sơ nhân viên để lưu trữ tập trung dữ liệu nhân sự của hệ thống.",3,Cao,"1. Lưu trữ: Mã nhân viên, Liên kết tài khoản hệ thống (`user_id`), Bộ phận làm việc, Chức danh, Ngày vào làm, Mức lương cơ bản, Hình thức tính lương (Fixed hoặc Hourly), Chi nhánh trực thuộc.
2. Cho phép thêm mới nhân viên, sửa hồ sơ, chuyển chi nhánh hoạt động.",Chưa bắt đầu,Dũng,Lộc,4,Lưu bảng employees
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-38,"Là Nhân viên nhân sự (HR), tôi muốn thiết lập mẫu ca làm việc chuẩn để áp dụng phân ca nhanh chóng hàng tuần.",2,Cao,"1. Cho phép tạo các ca làm việc mẫu (Ví dụ: Ca sáng 8:00 - 16:00, Ca gãy 10:00 - 14:00...).
2. Nhập: Tên ca, Giờ bắt đầu, Giờ kết thúc, Số giờ công quy đổi.
3. Cho phép chỉnh sửa thông tin ca mẫu.",Chưa bắt đầu,Dũng,Lộc,4,Lưu shift_templates
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-39,"Là Nhân viên nhân sự (HR), tôi muốn phân lịch làm việc tuần cho nhân viên để nhân viên biết chính xác ca trực của mình.",3,Cao,"1. Có giao diện bảng phân ca theo tuần (Thứ 2 đến Chủ nhật).
2. Cho phép gán nhanh Ca mẫu cho nhân viên vào ngày cụ thể.
3. Ngăn chặn gán trùng 2 ca chồng chéo giờ làm trong cùng 1 ngày cho 1 nhân viên.",Chưa bắt đầu,Lộc,Dũng,4,Lưu employee_shift_assignments
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-40,"Là Nhân viên phục vụ, tôi muốn thực hiện chấm công vào/ra (Clock In / Clock Out) để ghi nhận thời gian làm việc thực tế.",3,Cao,"1. Có nút Clock In/Out nhanh trên giao diện nhân viên.
2. Clock In: ghi nhận thời gian bắt đầu trực, tự động so khớp ca gán để đánh dấu đi trễ (is_late).
3. Clock Out: ghi nhận thời gian ra ca, tính tổng số giờ công làm thực tế (hours_worked), tự động đánh dấu về sớm.",Chưa bắt đầu,Lộc,Dũng,4,Lưu employee_attendances
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-41,"Là Nhân viên phục vụ quên chấm công, tôi muốn gửi đơn báo quên chấm công (Forgot Clock Request) để xin Quản lý phê duyệt bổ sung công ca làm.",2,Trung bình,"1. Có form tạo yêu cầu quên chấm công.
2. Chọn ngày quên, Giờ đề xuất bổ sung, Loại quên (Clock In hoặc Clock Out), Lý do giải trình.
3. Trạng thái mặc định của đơn là PENDING.",Chưa bắt đầu,Dũng,Lộc,4,Tạo forgot_clock_requests
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-42,"Là Nhân viên phục vụ, tôi muốn gửi đơn xin nghỉ phép trực tuyến (Leave Request) để xin Quản lý duyệt nghỉ phép có lương hoặc không lương.",2,Trung bình,"1. Có form tạo đơn nghỉ phép.
2. Chọn Ngày bắt đầu, Ngày kết thúc, Loại nghỉ phép (Phép năm ANNUAL, Nghỉ ốm SICK, Nghỉ không lương UNPAID), Lý do xin nghỉ.
3. Tự động kiểm tra số ngày phép còn lại của nhân viên (nếu chọn ANNUAL).",Chưa bắt đầu,Dũng,Lộc,4,Tạo leave_requests
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-43,"Là Quản lý chi nhánh, tôi muốn phê duyệt hoặc từ chối các đơn từ của nhân viên (Leave / Forgot Clock) để tôi chốt công nhanh chóng.",3,Trung bình,"1. Có màn hình duyệt đơn tập trung của chi nhánh.
2. Quản lý xem chi tiết giải trình và nhấn APPROVED hoặc REJECTED.
3. Nếu duyệt APPROVED Forgot Clock, hệ thống tự động chèn/cập nhật giờ công vào bảng `employee_attendances` tương ứng.",Chưa bắt đầu,Lộc,Dũng,4,Tự động bù công sau khi duyệt
"7. NHÂN SỰ, CHẤM CÔNG & TÍNH LƯƠNG (HR)",US-44,"Là Nhân viên nhân sự (HR), tôi muốn chạy tính lương tháng tự động (Payroll Run) để tính toán thu nhập thực tế chính xác cho nhân viên.",5,Cao,"1. Cho phép kích hoạt chạy bảng lương cho 1 tháng (Định dạng YYYY-MM).
2. Hệ thống quét toàn bộ ngày công của nhân viên: Tính lương cứng cố định hoặc nhân giờ công nhân đơn giá giờ.
3. Cộng các khoản allowances và trừ các khoản phạt đi trễ/đơn nghỉ không lương (deductions), lưu kết quả vào bảng `payroll_entries`.",Chưa bắt đầu,Lộc,Dũng,4,Chạy bảng lương tháng tự động
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-45,"Là Thu ngân, tôi muốn đăng ký hồ sơ hội viên mới tại POS lấy Số điện thoại (SĐT) làm định danh khóa chính duy nhất để tối ưu hóa tra cứu.",5,Trung bình,"1. Form nhập liệu gồm: SĐT (phone), Họ tên (name), Ngày sinh (birth_date).
2. Kiểm tra tính hợp lệ: SĐT bắt buộc là duy nhất, không sử dụng cột surrogate ID tự tăng.
3. Khởi tạo hạng thẻ mặc định là 'Bronze', tích lũy chi tiêu `total_spent = 0.0`.",Chưa bắt đầu,Kha,Thuận,4,Redesign: Phone as PK
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-46,"Là Hệ thống, tôi muốn tự động tích lũy chi tiêu và cộng điểm thưởng khi hội viên thanh toán hóa đơn để ghi nhận giá trị mua sắm.",3,Trung bình,"1. Khi hóa đơn POS gán SĐT hội viên đổi sang PAID, hệ thống kích hoạt Loyalty Service.
2. Cộng dồn số tiền thanh toán thực tế vào cột `customers.total_spent`.
3. Cộng điểm thưởng `loyalty_points` tương đương 1% tổng số tiền hóa đơn, lưu lịch sử loại EARNED.",Chưa bắt đầu,Kha,Thuận,4,Tự động tích lũy sau thanh toán
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-47,"Là Hệ thống, tôi muốn tự động nâng hạng thẻ thành viên (Membership Tiering) dựa trên chi tiêu tích lũy để tri ân đặc quyền cho khách.",3,Trung bình,"1. Sau khi cộng doanh số, so sánh `total_spent` để nâng hạng: Silver >= 5M VND, Gold >= 15M VND, Platinum >= 50M VND.
2. Tự động cập nhật `membership_tier` trên bảng khách hàng.
3. Mức chiết khấu mặc định của hạng thẻ tự động áp dụng cho hóa đơn kế tiếp (Silver: 5%, Gold: 10%, Platinum: 15%).",Chưa bắt đầu,Thuận,Kha,4,Tự động xếp hạng nâng thẻ
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-48,"Là Thu ngân, tôi muốn quy đổi điểm tích lũy của khách hàng thành tiền trừ trực tiếp vào hóa đơn khi có yêu cầu của khách.",3,Trung bình,"1. Cho phép nhập số điểm muốn quy đổi tại giỏ hàng POS (Tỷ lệ quy đổi: 1 điểm = 1,000 VNĐ).
2. Khấu trừ trực tiếp số tiền tương ứng vào tổng tiền hóa đơn thanh toán.
3. Trừ điểm thưởng của khách trên DB và lưu vết giao dịch loại REDEEMED.",Chưa bắt đầu,Thuận,Kha,4,Quy đổi điểm thưởng trực tiếp
8. KHÁCH HÀNG THÂN THIẾT & TÍCH ĐIỂM (LOYALTY),US-49,"Là Hệ thống, tôi muốn tự động phát hành voucher giảm giá mừng sinh nhật hội viên để thúc đẩy doanh thu chăm sóc khách.",2,Thấp,"1. Hệ thống tự động quét ngày sinh nhật của khách hàng hàng ngày.
2. Nếu trùng ngày sinh, tự động tạo mã coupon mừng sinh nhật thời hạn sử dụng 7 ngày.
3. Gửi thông báo coupon về Cổng thông tin khách hàng.",Chưa bắt đầu,Kha,Thuận,4,Tặng voucher sinh nhật tự động
